FuncType;InfNum;Name;Prio
130;187;NOT  : Anregung I>/>>/>>>;1
133;191;U<>  : Störfall U<3;1
133;189;U<>  : Störfall U<2 3p;1
133;192;U<>  : Anregung Uref>3;1
133;181;U<>  : tUref>3 abgelaufen;1
133;182;U<>  : Anregung Uref<3;1
133;183;U<>  : tUref<3 abgelaufen;1
133;184;U<>  : tUref<3 abgel.Wisch;1
133;193;U<>  : Störfall Uref<3;1
132;173;LSV  : Anwurf L1;1
132;174;LSV  : Anwurf L2;1
132;175;LSV  : Anwurf L3;1
132;177;LSV  : Aus Meldung t1. L1;1
132;178;LSV  : Aus Meldung t1. L2;1
132;179;LSV  : Aus Meldung t1. L3;1
132;182;LSV  : Aus Kommando t1. L1;1
132;183;LSV  : Aus Kommando t1. L2;1
132;184;LSV  : Aus Kommando t1. L3;1
132;188;LSV  : LS GLÜ L1 offen;1
132;189;LSV  : LS GLÜ L2 offen;1
132;190;LSV  : LS GLÜ L3 offen;1
130;132;LSV  : Stromfluß E;1
133;204;DIST : Anregung I>>;1
248;133;BM01 : Warng.Schaltanzahl;1
248;134;BM02 : Warng.Schaltanzahl;1
248;135;BM03 : Warng.Schaltanzahl;1
248;136;BM04 : Warng.Schaltanzahl;1
134;1;LOGIK: Ausgang 33;1
134;2;LOGIK: Ausgang 33 (t);1
134;3;LOGIK: Ausgang 34;1
134;4;LOGIK: Ausgang 34 (t);1
